HERO,CLASS,STR,STR+,"STR25",AGI,AGI+,"AGI25",INT,INT+,"INT25",T,T+,T25,MS,AR,"DMG(MIN)","DMG(MAX)",RG,BAT,"ATKPT","ATKBS",VS-D,VS-N,TR,COL,HP/S,L
Abaddon,STR,23,2.6,85.4,17,1.5,53,21,2,69,61,6.1,207.4,310,0.72,55,65,150,1.7,0.56,0.41,1800,800,0.5,24,1.5,2
Alchemist,STR,25,2.1,75.4,16,1.2,44.8,25,1.8,68.2,66,5.1,188.4,290,1.56,49,58,150,1.7,0.35,0.65,1800,800,0.6,24,1.5,2
Ancient Apparition,INT,20,1.7,60.8,20,2.2,72.8,23,2.6,85.4,63,6.5,219,295,2.2,44,54,675,1.7,0.45,0.3,1800,800,0.6,24,1.5,2
Anti-Mage,AGI,23,1.3,54.2,22,2.8,89.2,12,1.8,55.2,57,5.9,198.6,310,3.4,51,55,150,1.4,0.3,0.6,1800,800,0.5,24,1.75,2
Arc Warden,AGI,25,3,97,15,1.8,58.2,24,2.6,86.4,64,7.4,241.6,280,1,46,56,625,1.7,0.3,0.7,1800,800,0.6,24,1.75,2
Axe,STR,25,2.8,92.2,20,2.2,72.8,18,1.6,56.4,63,6.6,221.4,290,1.2,49,53,150,1.7,0.5,0.5,1800,800,0.6,24,4.25,2
Bane,INT,23,2.4,80.6,23,2.4,80.6,23,2.4,80.6,69,7.2,241.8,310,4.68,58,64,400,1.7,0.3,0.7,1800,800,0.6,24,1.5,4
Batrider,INT,28,2.7,92.8,15,1.5,51,22,2.5,82,65,6.7,225.8,290,2.4,38,42,375,1.7,0.3,0.54,1200,800,1,24,3.25,2
Beastmaster,STR,23,2.5,83,18,1.6,56.4,16,1.9,61.6,57,6,201,305,1.88,64,68,150,1.7,0.3,0.7,1800,800,0.5,24,1.5,2
Bloodseeker,AGI,24,2.7,88.8,24,3,96,18,1.7,58.8,66,7.4,243.6,285,4.8,57,63,150,1.7,0.43,0.74,1800,800,0.5,24,1.5,2
Bounty Hunter,AGI,18,2.1,68.4,21,3,93,19,2,67,58,7.1,228.4,315,7.2,45,59,150,1.7,0.59,0.59,1800,1000,0.6,24,2,2
Brewmaster,STR,23,3.2,99.8,22,1.95,68.8,14,1.25,44,59,6.4,212.6,295,1.52,52,59,150,1.7,0.35,0.65,1800,800,0.6,24,2,2
Bristleback,STR,22,2.2,74.8,17,1.8,60.2,14,2.8,81.2,53,6.8,216.2,285,2.72,44,54,150,1.8,0.3,0.3,1800,800,1,24,1.5,2
Broodmother,AGI,18,2.8,85.2,18,2.2,70.8,18,2,66,54,7,222,270,3.6,44,50,150,1.7,0.4,0.5,1800,800,0.5,24,1.5,8
Centaur Warrunner,STR,25,4.3,128.2,15,1,39,15,1.6,53.4,55,6.9,220.6,295,1.4,61,63,150,1.7,0.3,0.3,1800,800,0.5,24,1.5,4
Chaos Knight,STR,22,3.2,98.8,14,2.1,64.4,18,1.2,46.8,54,6.5,210,320,3.24,51,81,150,1.7,0.5,0.5,1800,800,0.5,24,1.5,2
